time:2025-05-29 00:45:14, type:DOWN, key:lista_d4
time:2025-05-29 08:48:59, type:PICK, key:lista_d4
time:2025-05-29 08:49:00, type:FREE, key:lista_d4, e:0
time:2025-05-29 08:49:50, type:PICK, key:lista_d4, e:0
time:2025-05-29 08:51:18, type:TEST, key:lista_d4, c:0, e:2
time:2025-05-29 08:52:12, type:TEST, key:lista_d4, c:66, e:3
time:2025-05-29 08:54:32, type:TEST, key:lista_d4, c:100, e:5
time:2025-05-29 08:54:40, type:BACK, key:lista_d4, e:5
time:2025-05-29 08:55:01, type:SELF, key:lista_d4, c:100, a:6, s:5, e:6
time:2025-06-03 08:27:10, type:PICK, key:lista_d4, e:6
time:2025-06-03 08:27:32, type:BACK, key:lista_d4, e:6
time:2025-06-03 08:30:18, type:PICK, key:lista_d4, e:9
time:2025-06-03 08:30:20, type:BACK, key:lista_d4, e:9
time:2025-06-03 08:30:22, type:PICK, key:lista_d4, e:9
time:2025-06-03 08:31:18, type:TEST, key:lista_d4, c:100, e:10
time:2025-06-03 08:31:18, type:SIZE, key:lista_d4, e:10, att:1, lines:147
time:2025-06-03 08:31:19, type:BACK, key:lista_d4, e:10, att:1, lines:147
time:2025-06-03 08:31:28, type:SELF, key:lista_d4, c:100, a:6, s:5, clear:4, fun:4, easy:5, e:10, att:1, lines:147
