2025-04-02_20-24-56,000%,draft.go:2025-04-02_20-24-56
2025-04-02_20-39-03,000%,draft.go:2025-04-02_20-39-03
2025-04-02_20-39-14,Execução Livre,draft.go:2025-04-02_20-39-03
2025-04-02_20-39-52,050%,draft.go:2025-04-02_20-39-52
2025-04-02_20-40-08,100%,draft.go:2025-04-02_20-40-08
2025-04-02_20-40-20,100%,draft.go:2025-04-02_20-40-08
2025-04-08_20-13-46,088%,draft.go:2025-04-02_20-40-08
2025-04-08_20-16-29,100%,draft.go:2025-04-08_20-16-29
2025-04-08_20-16-36,100%,draft.go:2025-04-08_20-16-29
