ab0c1f,2025-04-02 10:32:05,OPEN,,
446275,2025-04-02 10:42:58,QUIT,,
4d6c96,2025-04-02 10:43:03,OPEN,,
0fdbed,2025-04-02 10:43:05,QUIT,,
fe33cd,2025-04-02 11:07:58,OPEN,,
72709e,2025-04-02 11:09:57,QUIT,,
f9bff2,2025-04-02 11:09:59,OPEN,,
85eca0,2025-04-02 11:10:43,QUIT,,
90842c,2025-04-02 11:11:12,OPEN,,
883f3f,2025-04-02 11:12:49,QUIT,,
21e574,2025-04-02 11:13:01,OPEN,,
7de6a2,2025-04-02 11:13:12,QUIT,,
2fb30d,2025-04-02 11:14:21,OPEN,,
e434a6,2025-04-02 11:14:41,QUIT,,
a38b80,2025-04-02 11:21:14,OPEN,,
f0d110,2025-04-02 11:21:34,DOWN,pintando,
3ff58b,2025-04-02 11:22:06,PICK,pintando,
112c33,2025-04-02 11:25:55,FREE,pintando,
776559,2025-04-02 11:26:41,BACK,pintando,
09b939,2025-04-02 11:26:44,PICK,pintando,
1a77fb,2025-04-02 11:28:31,FREE,pintando,
5d2fe5,2025-04-02 11:28:55,BACK,pintando,
3966d8,2025-04-02 11:40:28,QUIT,,
4cc625,2025-04-02 11:40:31,OPEN,,
d3860f,2025-04-02 11:40:33,PICK,pintando,
a7f5b3,2025-04-02 11:41:26,BACK,pintando,
dac15f,2025-04-02 11:41:34,QUIT,,
9ff964,2025-04-02 18:20:14,OPEN,,
976320,2025-04-02 18:20:21,PICK,pintando,
3ce3aa,2025-04-02 18:20:40,TEST,pintando,0
4a9b48,2025-04-02 18:20:42,TEST,pintando,0
477846,2025-04-02 18:27:17,TEST,pintando,0
41eb0b,2025-04-02 18:28:09,TEST,pintando,0
cc2471,2025-04-02 18:28:34,TEST,pintando,0
b024f9,2025-04-02 18:50:19,TEST,pintando,0
094163,2025-04-02 18:50:30,TEST,pintando,50
feb5e2,2025-04-02 18:51:52,TEST,pintando,0
9fa43a,2025-04-02 18:52:05,FREE,pintando,
5bd63a,2025-04-02 19:06:30,TEST,pintando,100
51ba5a,2025-04-02 19:06:49,TEST,pintando,100
53fcb0,2025-04-02 19:06:53,BACK,pintando,
ac97c5,2025-04-02 19:07:13,PICK,pintando,
42f1de,2025-04-02 19:07:21,TEST,pintando,100
8fa04b,2025-04-02 19:07:44,TEST,pintando,100
fa95b6,2025-04-02 19:07:59,FREE,pintando,
fcea6e,2025-04-02 19:08:13,TEST,pintando,100
cbeeea,2025-04-02 19:08:16,TEST,pintando,100
a9976f,2025-04-02 19:08:16,TEST,pintando,100
bda0c7,2025-04-02 19:08:17,TEST,pintando,100
73c952,2025-04-02 19:08:18,TEST,pintando,100
a6039f,2025-04-02 19:08:18,TEST,pintando,100
de1389,2025-04-02 19:08:19,TEST,pintando,100
096779,2025-04-02 19:08:19,TEST,pintando,100
c888b3,2025-04-02 19:08:20,TEST,pintando,100
856186,2025-04-02 19:08:20,TEST,pintando,100
27c327,2025-04-02 19:08:21,TEST,pintando,100
3c850a,2025-04-02 19:08:21,TEST,pintando,100
de6476,2025-04-02 19:08:22,TEST,pintando,100
fe1963,2025-04-02 19:08:22,TEST,pintando,100
9d3680,2025-04-02 19:08:23,TEST,pintando,100
7f31b7,2025-04-02 19:08:23,TEST,pintando,100
ce9ac4,2025-04-02 19:08:24,TEST,pintando,100
aaffca,2025-04-02 19:08:24,TEST,pintando,100
1affca,2025-04-02 19:08:25,TEST,pintando,100
b515fd,2025-04-02 19:08:25,TEST,pintando,100
8a1c65,2025-04-02 19:08:26,TEST,pintando,100
2955f9,2025-04-02 19:08:26,TEST,pintando,100
a9e9d1,2025-04-02 19:08:27,TEST,pintando,100
4a8881,2025-04-02 19:08:27,TEST,pintando,100
b7d21c,2025-04-02 19:08:28,TEST,pintando,100
e59b80,2025-04-02 19:08:28,TEST,pintando,100
530800,2025-04-02 19:08:29,TEST,pintando,100
f2715e,2025-04-02 19:08:29,TEST,pintando,100
575006,2025-04-02 19:08:30,TEST,pintando,100
c5fa3e,2025-04-02 19:08:30,TEST,pintando,100
38db48,2025-04-02 19:08:30,BACK,pintando,
fd2a23,2025-04-02 19:08:30,QUIT,,
7a12b6,2025-04-02 19:08:52,OPEN,,
95206b,2025-04-02 19:09:19,SELF,pintando,"{c:100,a:0,s:0}"
08a029,2025-04-02 19:10:53,OPEN,,
37a965,2025-04-02 19:11:17,PICK,pintando,
9184a1,2025-04-02 19:11:25,BACK,pintando,
12c4cb,2025-04-02 19:11:51,PICK,pintando,
9107d7,2025-04-02 19:11:54,TEST,pintando,100
efe129,2025-04-02 19:11:55,TEST,pintando,100
5f00e2,2025-04-02 19:11:55,TEST,pintando,100
641103,2025-04-02 19:11:57,BACK,pintando,
6284a2,2025-04-02 19:12:48,SELF,pintando,"{c:100,a:0,s:0}"
6471d9,2025-04-02 19:13:25,SELF,pintando,"{c:90,a:2,s:0}"
98b1a9,2025-04-02 19:14:12,SELF,pintando,"{c:100,a:4,s:5}"
a4d8b7,2025-04-02 19:14:17,DOWN,mumia,
84ef61,2025-04-02 19:14:33,QUIT,,
6ffae0,2025-04-02 20:24:30,OPEN,,
5dc946,2025-04-02 20:24:50,PICK,mumia,
7f2d44,2025-04-02 20:24:56,TEST,mumia,0
9411f1,2025-04-02 20:39:03,TEST,mumia,0
e57d36,2025-04-02 20:39:14,FREE,mumia,
208331,2025-04-02 20:39:52,TEST,mumia,50
0c47e5,2025-04-02 20:40:08,TEST,mumia,100
2682b9,2025-04-02 20:40:20,TEST,mumia,100
b7f408,2025-04-02 20:40:25,BACK,mumia,
4ae1f0,2025-04-02 20:40:42,SELF,mumia,"{c:100,a:5,s:5}"
e7f231,2025-04-02 20:40:50,DOWN,fuga,
f254c1,2025-04-02 20:42:56,PICK,fuga,
002109,2025-04-02 20:43:04,TEST,fuga,0
6e064b,2025-04-02 20:43:14,TEST,fuga,0
03ab98,2025-04-02 20:43:16,BACK,fuga,
a96c0c,2025-04-02 20:43:18,QUIT,,
904814,2025-04-03 08:37:22,OPEN,,
ac733a,2025-04-03 08:38:29,PICK,fuga,
4c8b10,2025-04-03 08:38:31,BACK,fuga,
05a5b6,2025-04-03 08:38:35,PICK,fuga,
f528cc,2025-04-03 09:26:39,OPEN,,
c33d5f,2025-04-03 09:27:27,OPEN,,
c0f0d8,2025-04-03 09:28:07,QUIT,,
33db41,2025-04-03 09:53:54,OPEN,,
e2e950,2025-04-03 09:54:04,PICK,fuga,
f37baf,2025-04-03 09:54:24,OPEN,,
e11f05,2025-04-03 09:54:29,PICK,fuga,
479ade,2025-04-03 09:54:30,BACK,fuga,
e190af,2025-04-03 09:54:31,QUIT,,
0aebef,2025-04-03 10:29:12,TEST,fuga,0
1cad0d,2025-04-03 10:30:16,FREE,fuga,
19148e,2025-04-03 10:37:08,BACK,fuga,
faa3fc,2025-04-03 10:37:11,QUIT,,
758b82,2025-04-04 09:38:37,OPEN,,
83882e,2025-04-04 09:38:39,PICK,fuga,
57db74,2025-04-04 09:38:42,TEST,fuga,0
c60e5a,2025-04-04 09:44:17,TEST,fuga,0
5bd8b8,2025-04-04 09:44:27,FREE,fuga,
e810ba,2025-04-04 09:49:05,OPEN,,
c32d5b,2025-04-04 09:49:07,PICK,fuga,
164211,2025-04-04 09:49:11,TEST,fuga,0
7b54f1,2025-04-04 09:54:48,OPEN,,
68bb87,2025-04-04 09:54:54,PICK,fuga,
73f9e9,2025-04-04 09:56:22,OPEN,,
3c4ea5,2025-04-04 09:56:24,PICK,fuga,
22ecde,2025-04-04 09:56:35,TEST,fuga,0
e2b194,2025-04-04 09:56:37,TEST,fuga,0
637ae0,2025-04-04 10:55:38,OPEN,,
cb3261,2025-04-04 10:55:40,PICK,fuga,
d48414,2025-04-04 10:57:20,TEST,fuga,0
0ef7b9,2025-04-04 10:57:23,OPEN,,
47fe96,2025-04-04 10:57:24,PICK,fuga,
5af8fa,2025-04-04 10:57:33,TEST,fuga,0
f4cb6b,2025-04-04 10:57:37,OPEN,,
b6a407,2025-04-04 10:57:39,PICK,fuga,
c6ec53,2025-04-04 11:02:50,TEST,fuga,0
63124b,2025-04-04 11:02:57,OPEN,,
0c8235,2025-04-04 11:02:58,PICK,fuga,
05ce9f,2025-04-04 11:03:01,FREE,fuga,
90e4a0,2025-04-04 11:04:52,FREE,fuga,
f40cc4,2025-04-04 11:06:38,OPEN,,
315e68,2025-04-04 11:06:39,PICK,fuga,
7858bc,2025-04-04 11:06:54,OPEN,,
7b46e5,2025-04-04 11:06:55,PICK,fuga,
2e9498,2025-04-04 11:11:06,OPEN,,
884d82,2025-04-04 11:11:08,PICK,fuga,
194996,2025-04-04 11:12:11,TEST,fuga,0
47ebce,2025-04-04 11:12:14,TEST,fuga,0
6048c3,2025-04-04 11:12:40,OPEN,,
ea9aff,2025-04-04 11:13:01,PICK,fuga,
7435a8,2025-04-04 11:13:10,OPEN,,
a0c006,2025-04-04 11:13:11,PICK,fuga,
34f720,2025-04-04 11:13:32,OPEN,,
99ca73,2025-04-04 11:13:34,PICK,fuga,
40d6e7,2025-04-04 11:16:54,TEST,fuga,0
022a7b,2025-04-04 11:16:58,TEST,fuga,0
ed7da4,2025-04-04 11:17:34,TEST,fuga,0
1b0637,2025-04-04 11:17:36,FREE,fuga,
4d1fc3,2025-04-04 11:21:44,TEST,fuga,0
9f32fc,2025-04-04 11:22:04,TEST,fuga,0
fdac4d,2025-04-04 11:24:23,TEST,fuga,0
18a0c9,2025-04-04 11:26:26,BACK,fuga,
c36dd4,2025-04-04 11:26:30,DOWN,pedra,
d5675b,2025-04-04 11:26:32,PICK,pedra,
a03236,2025-04-04 11:42:19,BACK,pedra,
e3484b,2025-04-04 11:42:21,QUIT,,
ffaadd,2025-04-05 20:10:19,OPEN,,
bdc4ab,2025-04-05 20:10:24,PICK,fuga,
bd4619,2025-04-05 20:10:30,TEST,fuga,0
17cf92,2025-04-05 20:10:37,TEST,fuga,0
791ef0,2025-04-05 20:12:01,TEST,fuga,0
fd7130,2025-04-05 20:12:03,TEST,fuga,0
37653d,2025-04-05 20:12:05,TEST,fuga,0
23a087,2025-04-05 20:12:10,FREE,fuga,
0019ea,2025-04-05 20:14:41,TEST,fuga,0
6c3f48,2025-04-05 20:16:21,TEST,fuga,0
b649b0,2025-04-05 20:16:53,TEST,fuga,25
aa051b,2025-04-05 20:17:35,TEST,fuga,100
9c67ae,2025-04-05 20:17:47,TEST,fuga,100
a0b667,2025-04-05 20:17:54,BACK,fuga,
3676f6,2025-04-05 20:18:23,SELF,fuga,"{c:100,a:5,s:5}"
2c0fa0,2025-04-05 20:18:33,PICK,pedra,
2aed55,2025-04-05 20:33:31,BACK,pedra,
7ca1a8,2025-04-05 20:34:03,QUIT,,
5977a4,2025-04-05 21:12:37,OPEN,,
6f5b0d,2025-04-05 21:23:48,QUIT,,
2a2238,2025-04-06 18:10:15,OPEN,,
a81c4b,2025-04-06 18:10:17,PICK,pedra,
d44cba,2025-04-06 18:10:20,TEST,pedra,0
f275f2,2025-04-06 18:21:34,TEST,pedra,0
fb395a,2025-04-06 18:22:01,FREE,pedra,
e9b9ff,2025-04-06 18:27:28,TEST,pedra,25
d770ae,2025-04-06 18:27:53,TEST,pedra,50
c9b308,2025-04-06 18:28:38,TEST,pedra,50
abbea1,2025-04-06 18:28:58,TEST,pedra,50
a3f964,2025-04-06 18:29:33,TEST,pedra,0
f59c92,2025-04-06 18:53:14,TEST,pedra,100
a30a2b,2025-04-06 18:53:31,TEST,pedra,100
0d85ef,2025-04-06 18:53:33,TEST,pedra,100
a52a51,2025-04-06 18:53:34,TEST,pedra,100
180f09,2025-04-06 18:53:40,BACK,pedra,
d7a5f0,2025-04-06 18:54:07,SELF,pedra,"{c:100,a:2,s:5}"
7dd569,2025-04-06 18:54:37,SELF,mumia,"{c:100,a:5,s:5}"
26538f,2025-04-06 18:54:41,PICK,pedra,
a4a7d9,2025-04-06 18:54:43,TEST,pedra,100
589f6b,2025-04-06 18:54:45,TEST,pedra,100
1156fb,2025-04-06 18:54:45,BACK,pedra,
9229ea,2025-04-06 18:54:57,SELF,pedra,"{c:100,a:2,s:4}"
664c09,2025-04-06 18:55:00,DOWN,casais,
b16573,2025-04-06 18:55:02,PICK,casais,
1844b9,2025-04-07 19:52:06,OPEN,,
dd1276,2025-04-07 19:57:48,PICK,casais,
1b96d0,2025-04-07 20:46:17,TEST,casais,0
05707e,2025-04-07 20:46:18,TEST,casais,0
409593,2025-04-07 20:46:18,BACK,casais,
6e8196,2025-04-07 20:46:20,QUIT,,
b5c768,2025-04-08 16:48:12,OPEN,,
06009c,2025-04-08 16:48:15,PICK,casais,
0a5953,2025-04-08 16:55:37,TEST,casais,0
4a79e5,2025-04-08 16:56:32,TEST,casais,0
e9cdea,2025-04-08 16:56:52,TEST,casais,0
95d57c,2025-04-08 16:56:54,FREE,casais,
7c1647,2025-04-08 17:03:17,TEST,casais,25
5fdb56,2025-04-08 17:04:02,FREE,casais,
ead58e,2025-04-08 17:10:32,TEST,casais,50
89391e,2025-04-08 17:11:55,TEST,casais,50
f203c8,2025-04-08 17:17:17,TEST,casais,50
eedfcb,2025-04-08 17:17:45,FREE,casais,
3cf998,2025-04-08 17:18:16,OPEN,,
8859c7,2025-04-08 17:18:18,PICK,casais,
94909c,2025-04-08 17:18:20,TEST,casais,50
ca87d9,2025-04-08 17:18:21,FREE,casais,
7c16b1,2025-04-08 17:19:15,OPEN,,
773f98,2025-04-08 17:19:16,PICK,casais,
85fde8,2025-04-08 17:19:18,FREE,casais,
47aca1,2025-04-08 17:21:44,TEST,casais,50
00a029,2025-04-08 17:23:28,TEST,casais,100
09be59,2025-04-08 17:23:39,TEST,casais,100
91215a,2025-04-08 17:23:41,BACK,casais,
b2c41d,2025-04-08 17:23:43,DOWN,baruel,
b545d7,2025-04-08 17:24:53,PICK,baruel,
e36254,2025-04-08 18:03:14,TEST,baruel,0
1fa4e0,2025-04-08 18:03:20,FREE,baruel,
4e860d,2025-04-08 18:11:20,TEST,baruel,0
39bda9,2025-04-08 18:11:21,TEST,baruel,0
ee6e97,2025-04-08 18:16:06,TEST,baruel,0
9532c4,2025-04-08 19:02:56,FREE,baruel,
2ac0cc,2025-04-08 19:03:44,OPEN,,
94d88c,2025-04-08 19:03:45,PICK,baruel,
768975,2025-04-08 19:03:47,FREE,baruel,
6701da,2025-04-08 19:05:24,TEST,baruel,0
8d433f,2025-04-08 19:05:30,FREE,baruel,
dd8b68,2025-04-08 19:07:25,TEST,baruel,0
1c7d4d,2025-04-08 19:07:27,FREE,baruel,
8b816a,2025-04-08 19:11:58,BACK,baruel,
c7313d,2025-04-08 19:12:36,QUIT,,
6cbead,2025-04-08 20:11:55,OPEN,,
a5272d,2025-04-08 20:12:02,PICK,baruel,
84ec8b,2025-04-08 20:12:15,FREE,baruel,
b3b4b0,2025-04-08 20:12:56,BACK,baruel,
65c2ed,2025-04-08 20:13:01,DOWN,baruel,
c88956,2025-04-08 20:13:06,DOWN,casais,
d77b35,2025-04-08 20:13:09,DOWN,pedra,
6747c6,2025-04-08 20:13:13,DOWN,pintando,
7f5162,2025-04-08 20:13:15,DOWN,mumia,
960190,2025-04-08 20:13:18,DOWN,fuga,
