time:2025-06-04 13:05:10, type:DOWN, key:bufferring
time:2025-06-04 13:09:44, type:PICK, key:bufferring, e:4
time:2025-06-04 13:10:19, type:TEST, key:bufferring, c:0, e:5
time:2025-06-04 13:10:19, type:SIZE, key:bufferring, e:5, att:1, lines:110
time:2025-06-04 13:13:20, type:TEST, key:bufferring, c:0, e:8, att:1, lines:110
time:2025-06-04 13:13:20, type:SIZE, key:bufferring, e:8, att:2, lines:138
time:2025-06-04 13:13:39, type:TEST, key:bufferring, c:16, e:8, att:2, lines:138
time:2025-06-04 13:13:39, type:SIZE, key:bufferring, e:8, att:3, lines:139
time:2025-06-04 13:16:19, type:TEST, key:bufferring, c:16, e:11, att:3, lines:139
time:2025-06-04 13:16:19, type:SIZE, key:bufferring, e:11, att:4, lines:157
time:2025-06-04 13:17:45, type:TEST, key:bufferring, c:16, e:12, att:4, lines:157
time:2025-06-04 13:17:45, type:SIZE, key:bufferring, e:12, att:5, lines:158
time:2025-06-04 13:18:56, type:TEST, key:bufferring, c:50, e:13, att:5, lines:158
time:2025-06-04 13:18:56, type:SIZE, key:bufferring, e:13, att:6, lines:178
time:2025-06-04 13:19:22, type:TEST, key:bufferring, c:83, e:14, att:6, lines:178
time:2025-06-04 13:19:22, type:SIZE, key:bufferring, e:14, att:7, lines:178
time:2025-06-04 13:20:14, type:BACK, key:bufferring, e:15, att:7, lines:178
time:2025-06-04 13:20:20, type:PICK, key:bufferring, e:15, att:7, lines:178
time:2025-06-04 13:20:22, type:BACK, key:bufferring, e:15, att:7, lines:178
time:2025-06-04 13:20:25, type:PICK, key:bufferring, e:15, att:7, lines:178
time:2025-06-04 13:23:04, type:TEST, key:bufferring, c:16, e:17, att:7, lines:178
time:2025-06-04 13:23:04, type:SIZE, key:bufferring, e:17, att:8, lines:190
time:2025-06-04 13:23:08, type:TEST, key:bufferring, c:16, e:17, att:8, lines:190
time:2025-06-04 13:23:13, type:TEST, key:bufferring, c:83, e:18, att:8, lines:190
time:2025-06-04 13:23:13, type:SIZE, key:bufferring, e:18, att:9, lines:190
time:2025-06-04 13:25:48, type:BACK, key:bufferring, e:20, att:9, lines:190
time:2025-06-04 13:27:36, type:PICK, key:bufferring, e:22, att:9, lines:190
time:2025-06-04 13:27:41, type:TEST, key:bufferring, c:83, e:22, att:9, lines:190
time:2025-06-04 13:31:50, type:TEST, key:bufferring, c:83, e:26, att:9, lines:190
time:2025-06-04 13:32:20, type:TEST, key:bufferring, c:83, e:27, att:9, lines:190
time:2025-06-04 13:51:43, type:TEST, key:bufferring, c:100, e:46, att:9, lines:190
time:2025-06-04 13:51:43, type:SIZE, key:bufferring, e:46, att:10, lines:190
time:2025-06-04 13:51:46, type:BACK, key:bufferring, e:46, att:10, lines:190
time:2025-06-04 13:51:59, type:SELF, key:bufferring, c:100, a:6, s:5, clear:0, fun:0, easy:0, e:46, att:10, lines:190
